URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
Imperial_examination,779,38,25330
Dark_Age,849,49,7209
Quadrivium,177,41,1972
Pedagogy,575,104,6785
Jesuit,1501,106,26130
L%27Enseignement_Math%C3%A9matique,20,3,565
Mathematical_anxiety,122,12,5710
Computer_program,611,105,14565
Apery%27s_theorem,60,5,2228
Roger_Apery,51,15,765
Puzzle,182,56,1637
Recreational_mathematics,136,28,1689
Aesthetic,912,116,8852
Beauty,528,137,10101
Simplicity,164,12,1984
Symmetry,625,91,5076
A_Mathematician%27s_Apology,195,19,1929
Paul_Erd%C5%91s,357,67,6297
Proofs_from_THE_BOOK,46,11,695
Fast_Fourier_transform,362,29,7732
Harmonic_analysis,118,43,2049
Liberal_arts,401,61,6962
Mathematics_and_art,1099,17,13200
Frequencies,231,124,2959
Perfect_fifth,227,11,2429
Fractal,865,80,9082
Symmetry_group,98,25,2729
Cyclic_group,322,32,4838
Rorschach_test,287,42,11856
Butterfly,796,125,10684
Fractals,865,80,9085
Self-similarity,183,35,1782
Fields_Medal,523,78,8234
Polymath,125,66,4462
World_War_II_in_Yugoslavia,1735,34,16452
Nobel_Prize,762,192,13445
Abel_Prize,189,70,2952
Chern_Medal,29,17,713
American_Mathematical_Society,170,32,2882
Leroy_P._Steele_Prize,216,19,4567
Wolf_Prize_in_Mathematics,340,29,2298
Open_problem,22,10,608
Hilbert%27s_problems,242,46,4777
Millennium_Prize_Problems,169,39,3128
Riemann_hypothesis,703,55,17874
Poincar%C3%A9_conjecture,276,43,5663
Grigori_Perelman,396,67,7484
Law_(mathematics),69,1,2192
List_of_mathematical_jargon,180,1,5802
Lists_of_mathematicians,62,1,724
Mathematical_constant,253,67,4465
Mathematical_sciences,27,8,507
Science_technology_engineering_and_mathematics,284,47,10617
Circular_cylinder,122,102,3525
Generating_series,226,26,16456
G%C3%B6del%27s_theorems,588,54,12888
Josef_Mitterer,26,1,1357
ISSN_(identifier),535,95,3331
OCLC_(identifier),135,70,4675
Open_access,1181,49,18706
Wayback_Machine,218,107,8336
Communications_on_Pure_and_Applied_Mathematics,24,4,481
Bibcode_(identifier),17,63,728
Doi_(identifier),560,96,5020
S2CID_(identifier),135,32,1823
The_University_of_Georgia,1195,36,26011
Amir_Alexander,22,2,1163
MR_(identifier),30,22,1122
PMID_(identifier),215,66,4208
Israel_Kleiner_(mathematician),9,5,925
EISSN_(identifier),533,95,3331
JSTOR_(identifier),74,60,3430
LCCN_(identifier),22,68,891
Eric_Temple_Bell,97,22,2419
Sal_Restivo,10,1,1379
Mario_Bunge,328,30,4316
Kluwer_Academic_Publishers,144,35,1952
Dora_Musielak,14,3,734
Springer_International_Publishing,116,15,2422
Columbia_University,1889,92,22682
Klaus_Hulek,31,2,899
William_J._LeVeque,39,2,876
Addison-Wesley_Publishing_Company,97,13,919
Andr%C3%A9_Weil,290,39,3717
Elemente_der_Mathematik,17,1,602
World_Scientific,18,15,524
ArXiv_(identifier),236,54,3128
Open_Court_Publishing_Company,27,2,789
Open_access#Free_access,859,49,18706
Robin_Hartshorne,44,15,916
Springer_New_York,40,7,960
Carl_B._Boyer,29,15,894
Dover_Publications,37,12,1293
Perspectives_on_Science,27,1,664
